,FEAT,P_VALUE,LR_WEIGHT
220,advantage,0.3489261896063701,0.0
221,adventure,0.39235103075131694,0.0
222,advice,0.4711871920116032,0.0
223,advised,0.3480720592227218,0.0
224,adviser,0.06216633872825927,0.0
225,advisers,0.12157539695906003,0.0
226,advocate,0.5964993452452354,0.0
227,advocated,0.19145025417330164,0.0
228,affair,0.7911007591841195,0.0
229,affairs,0.404832109521011,0.0
230,affected,0.7324937791582606,0.0
231,affection,0.8303517517179251,0.0
232,afraid,0.2594139450306856,0.0
233,africa,0.6258111618908375,0.0
234,african,0.20883507863907624,0.0
235,afternoon,0.7665402219720377,0.0
236,afterward,0.8392400102137065,0.0
237,age,0.1237250957343944,0.0
238,aged,0.5317104846018543,0.0
239,agency,0.024680173473099528,0.0
240,agent,0.16350631802237114,0.0
241,agents,0.5775392052105199,0.0
242,aging,0.11772208091112653,0.0
243,ago,0.05360144144342878,0.0
244,agree,0.6080096524116981,0.0
245,agreed,0.8102389632976263,0.0
246,agreement,0.018727548660928427,0.0
247,agriculture,0.21086291660911782,0.0
248,ahead,0.008946487856521716,0.0
249,aid,0.21583439501101798,0.0
250,aided,0.5853909318052501,0.0
251,ailment,0.39235103075131694,0.0
252,air,0.02036480343030677,0.0
253,alabama,0.19600288589111747,0.0
254,alike,0.3873256096554504,0.0
255,alive,1.0,0.0
256,alliance,0.011925510040599623,0.0
257,allied,0.04928939427609146,0.0
258,allies,0.2410238210943858,0.0
259,allow,0.44455493872421625,0.0
260,allowed,0.6859176134419604,0.0
261,amateur,0.18436214051533817,0.0
262,ambassador,0.11317179578764203,0.0
263,ambition,0.053668558701324386,0.0
264,ambitious,0.18077792258349967,0.0
265,amendment,0.49610305061127846,0.0
266,american,0.0016727356982969902,0.14094300001036103
267,americans,0.069157444366103,0.0
268,amid,0.08505493824257956,0.0
269,analysis,0.07222288283898418,0.0
270,ancestors,0.6268617584671552,0.0
271,ancient,0.15804246030830327,0.0
272,anger,0.5166363047555402,0.0
273,angry,0.6999130789263013,0.0
274,animals,0.3964484245898059,0.0
275,anniversary,0.8923717733009912,0.0
276,announced,0.39958906843486763,0.0
277,announcement,0.025175140370269283,0.0
278,annual,0.21725163252054258,0.0
279,answer,0.7027114401400106,0.0
280,anti,1.0,0.0
281,anybody,0.18873751944966455,0.0
282,apart,0.307650798985208,0.0
283,apartment,0.6208567072819184,0.0
284,apparent,0.3005611074864375,0.0
285,apparently,0.05618825214906484,0.0
286,appeal,0.8387544315289064,0.0
287,appealed,0.6428540345905494,0.0
288,appear,0.19106811214448294,0.0
289,appearance,0.7338479620815093,0.0
290,appearances,0.6474380353424388,0.0
291,appeared,0.7753453194327691,0.0
292,appearing,0.8387544315289064,0.0
293,appears,0.42760363752584696,0.0
294,application,0.14267125255104443,0.0
295,applied,0.3145484510152633,0.0
296,appointed,0.0023715526046374858,0.0
297,appointment,0.1965254537090786,0.0
298,approach,0.05386216704894495,0.0
299,approached,0.8205795841182532,0.0
300,approval,0.15881402695831337,0.0
301,approved,1.0,0.0
302,arab,0.7370173056373271,0.0
303,architect,0.08606944482278456,0.0
304,ardent,0.7558585663908153,0.0
305,area,0.6300524615198011,0.0
306,areas,0.08746020067450402,0.0
307,argued,0.5637804872607879,0.0
308,argument,0.1282798876724184,0.0
309,arm,0.04395780502536562,0.0
310,armed,0.023352160167038522,0.0
311,armies,0.07898810212555839,0.0
312,arms,0.10444062406904997,0.0
313,army,0.006608969896436583,0.0
314,arose,0.8125613524350679,0.0
315,aroused,0.554326017667291,0.0
316,arranged,0.8796713043422728,0.0
