Voyage ID,Vessel name,Voyage ship place where vessel registered ,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Total embarked,Year of arrival at port of disembarkation,Slaves arrived at 1st port,Percent men,Percent women,Percent children,Mortality rate,Captain's name,Resistance label
8229,S José e NS da Conceição,,Rio de Janeiro,Luanda,Rio de Janeiro,,1774,,,,,,"Souto, Antônio de",
8230,Santana e S José,,Rio de Janeiro,Luanda,Rio de Janeiro,,1774,19,0.7,0.3,0.0,,"Viana, Francisco Barbosa",
8231,NS da Conceição e Santana,,Rio de Janeiro,Luanda,Rio de Janeiro,,1774,,,,,,"Medeiros, Manoel de",
8232,NS da Conceição e NS de la Antigua,,Rio de Janeiro,Luanda,Rio de Janeiro,,1774,,,,,,"Mota, Manoel da",
8233,S Antônio [?],,Rio de Janeiro,Luanda,Rio de Janeiro,,1774,,,,,,"Barbosa, José Pinto",
8234, ,,Rio de Janeiro,Luanda,Rio de Janeiro,,1774,,,,,,"Batista, Manoel F",
8235,NS do Crato e S Roque,,Rio de Janeiro,Luanda,Rio de Janeiro,,1781,,,,,,"Leandro, Manoel Ferreira",
8236,Santana e S José,,Rio de Janeiro,Luanda,Rio de Janeiro,,1781,,,,,,"Firme, Manoel Caetano",
8237,NS do Carmo e Três Reis Magos,,Rio de Janeiro,Luanda,Rio de Janeiro,,1781,,,,,,"Lisboa, Antônio José",
8238,S João Batista,,Rio de Janeiro,Luanda,Rio de Janeiro,,1781,,,,,,"Vargas, Antônio José",
8239,NS da Boa Viagem e Santana,,Rio de Janeiro,Luanda,Rio de Janeiro,,1781,,,,,,"Guerreiro, Antônio Rodrigues",
8240,NS do Rosario S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1781,,,,,,"Araújo, João Antônio de",
8241,NS do Rosario S Bernardo e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1782,,,,,,"Chamiço, Silvestre José de Oliveira",
8242,NS da Conceição S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1781,,,,,,"Araújo, Aleixo de",
8243,NS do Monte do Carmo e S Pedro,,Rio de Janeiro,Luanda,"Pernambuco, port unspecified",,1781,,,,,,"Souza, Sebastião Pinto de",
8244,NS da Piedade e S Francisco,,Rio de Janeiro,Luanda,Rio de Janeiro,,1782,,,,,,"Guimarães, Lourenço de Carvalho",
8245,NS das Brotas e S João Nepomuceno,,Rio de Janeiro,Luanda,Rio de Janeiro,,1782,,,,,,"Nascimento, José Rodrigues do",
8246,Santana e S José,,Rio de Janeiro,Luanda,Rio de Janeiro,,1782,,,,,,"Firme, Manoel Caetano",
8247,NS da Conceição Santana e Almas,,Rio de Janeiro,Luanda,"Pernambuco, port unspecified",,1782,,,,,,"Quadros, Manoel Ferreira de",
8248,NS do Carmo e Três Reis Magos,,Rio de Janeiro,Luanda,Rio de Janeiro,,1782,,,,,,"Lisboa, Antônio José",
8249,NS da Atalaia e Bom Jesus das Portas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1782,,,,,,"Miranda, Tomás da Costa",
8250,S João Batista,,Rio de Janeiro,Luanda,Rio de Janeiro,,1782,,,,,,"Vargas, Antônio José",
8251,NS do Rosario S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1782,,,,,,"Silva, Maurício José da",
8252,NS da Lapa S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1782,,,,,,"Monteiro, Manoel Luís",
8253,Sr Bom Jesus dos Prazeres,,Rio de Janeiro,Luanda,Rio de Janeiro,,1782,,,,,,"Flamante, Manoel Francisco",
8254,NS do Rosario e S Bernardo,,Rio de Janeiro,Luanda,Rio de Janeiro,,1783,,,,,,"Oliveira, Silvestre José de",
8255,Santana e S José,,Rio de Janeiro,Luanda,Rio de Janeiro,,1783,,,,,,"Firme, Manoel Caetano",
8256,NS da Conceição S José S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1783,,,,,,"Araújo, Aleixo de",
8257,NS da Piedade S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1783,,,,,,"Guimarães, Manoel de Souza",
8258,NS das Brotas e S João Nepomuceno,,Rio de Janeiro,Luanda,Rio de Janeiro,,1783,,,,,,"Nascimento, José Rodrigues do",
8259,NS da Boa Viagem e Santana,,Rio de Janeiro,Luanda,Rio de Janeiro,,1783,,,,,,"Araújo, João Antônio de",
8260,NS do Bonsucesso S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1783,,,,,,"Martins, João da Silva",
8261,NS da Atalaia e Bom Jesus das Portas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1783,,,,,,"Terra, José Nogueira",
8262,NS de Belém S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1784,,,,,,"Rosa, Antônio de Souza",
8263,S João Batista,,Rio de Janeiro,Luanda,Rio de Janeiro,,1784,,,,,,"Vargas, Antônio José",
8264,NS dos Remédios e S José,,Rio de Janeiro,Luanda,Rio de Janeiro,,1784,,,,,,"Miranda, Tomás da Costa",
8265,NS do Rosario e S Bernardo,,Rio de Janeiro,Luanda,Rio de Janeiro,,1784,,,,,,"Oliveira, Joaquim José de",
8266,NS da Conceição Santana e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1784,,,,,,"Oliveira, José Antônio de",
8267,NS da Guia e Santíssimo Sacramento,,Rio de Janeiro,Luanda,Rio de Janeiro,,1784,,,,,,"Pugas, Manoel José Branco de",
8268,Santana e S José,,Rio de Janeiro,Luanda,Rio de Janeiro,,1784,,,,,,"Chamiço, Silvestre José de Oliveira",
8269,Sr do Bonfim e NS dos Prazeres,,Rio de Janeiro,Luanda,Rio de Janeiro,,1784,,,,,,"Flamante, Manoel Francisco",
8270,NS da Conceição Santana e S Joaquim,,Rio de Janeiro,Luanda,Rio de Janeiro,,1784,,,,,,"Guerreiro, Antônio Rodrigues",
8271,S João Nepomuceno,,Rio de Janeiro,Luanda,Rio de Janeiro,,1784,,,,,,"Rosario, Tomás José de",
8272,NS da Conceição e S José,,Rio de Janeiro,Luanda,Rio de Janeiro,,1784,,,,,,"Cruz, Joaquim Pereira da",
8273,Sr do Bonfim e NS dos Prazeres,,Rio de Janeiro,Luanda,Rio de Janeiro,,1785,,,,,,"Flamante, Manoel Francisco",
8274,NS de Belém S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1785,,,,,,"Rosa, Antônio de Souza",
8275,NS da Barroquinha S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1785,,,,,,"Peres, Luís da Silva",
8276,NS da Conceição e S Bento,,Rio de Janeiro,Luanda,Rio de Janeiro,,1785,,,,,,"Vargas, Antônio José",
8277,Paquete Volante,,Rio de Janeiro,Luanda,Rio de Janeiro,,1785,,,,,,"Ferreira, Joaquim José",
8278,NS dos Prazeres e Mãe dos Homens,,Rio de Janeiro,Luanda,Rio de Janeiro,,1785,,,,,,"Flamante, Manoel Francisco",
8279,NS da Conceição Santana e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1785,,,,,,"Pereira, Joaquim",
8280,NS da Conceição e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1785,,,,,,"Souza, Antônio Domingos de",
